critic,date,fresh,imdb,original_score,publication,quote,review_date,rt_id,title
Moira MacDonald,2006-02-24,rotten,404390,1/4,Seattle Times,"There is a child at the center of this ultraviolent story, and the devices used to keep us on tenterhooks regarding his survival are appallingly manipulative.",http://community.seattletimes.nwsource.com/archive/?slug=running24&date=20060224,49248746,Running Scared
Justin Chang,2006-02-24,fresh,404390,,Variety,"A ferociously energetic piece of filmmaking, Running Scared makes the seedy Vegas milieu of writer-director Wayne KramerWayne Kramer's first feature, The Cooler, look as tasteful as The Sound of Music.",http://www.variety.com/review/VE1117929711.html?categoryid=31&cs=1,49248746,Running Scared
Mick LaSalle,2006-02-24,fresh,404390,4/4,San Francisco Chronicle,"Running Scared is for people who like movies, who don't need to have a movie mean something in order to enjoy it and who can delight at the sheer craft of a story designed only to shock, amuse and hold an audience.",http://sfgate.com/cgi-bin/article.cgi?f=/c/a/2006/02/24/DDGJ3HCRRO22.DTL&type=movies,49248746,Running Scared
Roger Moore,2006-02-24,fresh,404390,3/5,Orlando Sentinel,"It's borderline irresponsible, a virtual horror movie of a gangster thriller.","http://www.orlandosentinel.com/entertainment/movies/orl-db-moviereviews-searchresults,0,3279701,results.formprofile?turbine_cdb_lib__cdb_01_txt=Running%20Scared&Find+it%21=Submit+Query",49248746,Running Scared
Kyle Smith,2006-02-24,rotten,404390,1.5/4,New York Post,"Kramer seems to be aping Quentin Tarantino's brilliant tangents in Pulp Fiction, but he doesn't have Tarantino's imagination or gift for dialogue.",,49248746,Running Scared
Jack Mathews,2006-02-24,rotten,404390,1.5/4,New York Daily News,This overlong fantasy of urban violence is so far over the top -- you might as well be watching a computer monitor while somebody else has a high time playing the video game Grand Theft Auto.,http://www.nydailynews.com/entertainment/movies/moviereviews/story/394288p-334130c.html,49248746,Running Scared
Rene Rodriguez,2006-02-24,fresh,404390,3/4,Miami Herald,"Running Scared is a vicious and brutal B-movie jacked up to hysterical, hallucinatory proportions -- a pulpy, violent action picture that torments the viewer as much as its characters, and I mean that as a compliment.",http://ae.miami.com/entertainment/ui/miami/movie.html?id=544305&reviewId=20197,49248746,Running Scared
Carina Chocano,2006-02-24,rotten,404390,1.5/5,Los Angeles Times,"As the movie becomes more howlingly ludicrous by the second, it's tempting -- and not in a cynical way, either -- to start reading it as a parody of pornographic video game violence.","http://www.calendarlive.com/movies/chocano/cl-et-runningscared24feb24,0,5210995.story",49248746,Running Scared
Bruce Westbrook,2006-02-24,rotten,404390,1.5/4,Houston Chronicle,"But even beyond its sleazy pandering and sensationalism, the film's worst transgression is its exploitation of young children.",http://www.chron.com/disp/story.mpl/ent/movies/reviews/3642479.html,49248746,Running Scared
Tom Long,2006-02-24,fresh,404390,B,Detroit News,"An exhilarating bloodbath of a film, Running Scared may not be perfect, but it's got adrenaline, wild eyes and sleaze to spare.",http://www.detnews.com/apps/pbcs.dll/article?AID=/20060224/ENT02/602240404/1034,49248746,Running Scared
Robert Denerstein,2006-02-24,rotten,404390,D+,Denver Rocky Mountain News,Running Scared is not only toxic but irresponsible in the way it exposes young characters to a steady barrage of sleaze and violence.,,49248746,Running Scared
Scott Foundas,2008-04-16,rotten,324216,,Variety,"An initially promising, but quickly disappointing retread of Tobe Hooper and Kim Henkel's hugely influential horror classic.",http://www.variety.com/review/VE1117922131.html?categoryid=31&cs=1,13328,The Texas Chainsaw Massacre
Jonathan Rosenbaum,2008-04-16,rotten,324216,,Chicago Reader,'Inspired by a true story' presumably adds to the sordid thrills; maybe we should look forward to entertainments about Nazis torturing children.,http://onfilm.chicagoreader.com/movies/capsules/24489_TEXAS_CHAINSAW_MASSACRE_NISPEL,13328,The Texas Chainsaw Massacre
Christy Lemire,2006-10-03,rotten,324216,2/4,Associated Press,Here's a slice of advice: Go to the video store and rent the original.,,13328,The Texas Chainsaw Massacre
,2006-06-24,rotten,324216,,Time Out,"The best one can say is that his version is not slavishly in thrall to Hooper's: boring, fright-free and pointless, maybe, but not craven.",http://www.timeout.com/film/reviews/79129/the_texas_chainsaw_massacre.html,13328,The Texas Chainsaw Massacre
Peter Travers,2004-01-15,rotten,324216,2/4,Rolling Stone,All the bad-rehash mojo from Friday the 13th to The Blair Witch Project has infected Scott Kosar's script.,,13328,The Texas Chainsaw Massacre
Richard Roeper,2003-10-27,fresh,324216,,Ebert & Roeper,... a bloody good time of a B-movie.,http://apps.tvplex.go.com/ebertandthemovies/audioplayer.cgi?file=031027_texas_chainsaw_massacre,13328,The Texas Chainsaw Massacre
Ron Stringer,2003-10-23,rotten,324216,,L.A. Weekly,"Sheer simplicity of the idea gets overwhelmed by, of all things, production values.",http://www.laweekly.com/film/film_results.php?showid=2671,13328,The Texas Chainsaw Massacre
Michael Atkinson,2003-10-21,rotten,324216,,Village Voice,"An overproduced, video-director remake, slick and grue-marinated and loud as a sonic boom.",http://www.villagevoice.com/issues/0343/atkinson.php,13328,The Texas Chainsaw Massacre
Richard Harrington,2003-10-17,rotten,324216,,Washington Post,"Weakens, dilutes, disinfects and otherwise undermines the legacy of Tobe Hooper's 1974 original.",,13328,The Texas Chainsaw Massacre
Stephen Hunter,2003-10-17,fresh,324216,,Washington Post,"You realize how hard this is on me, to have to tell you what a superb job director Marcus Nispel has done re-creating, yet also revising, 1974's grisly, gristly, protein-centric masterpiece.",,13328,The Texas Chainsaw Massacre
Geoff Pevere,2003-10-17,rotten,324216,2/5,Toronto Star,"Next to this redundant, pointless and witless retread, the classic status of Tobe Hooper's original version is officially beyond dispute.",http://WWW.TheStar.COM/NASApp/cs/ContentServer?&amp;pagename=thestar/Layout/Article_Type1&c=Article&cid=1066384936455&call_pageid=1022183557980&col=1022183560753,13328,The Texas Chainsaw Massacre
Ted Fry,2003-10-17,rotten,324216,1.5/4,Seattle Times,"Mainly it's a vapid, vicious thrill ride that washes away immediately.",,13328,The Texas Chainsaw Massacre
Peter Hartlaub,2003-10-17,rotten,324216,2/4,San Francisco Chronicle,"Unlike movies such as Seven, there isn't enough style in the new The Texas Chainsaw Massacre to justify the bloodbath, and it's riddled with too much been-there-done-that to endure as a classic.",http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/2003/10/17/DD298249.DTL,13328,The Texas Chainsaw Massacre
Roger Moore,2003-10-17,rotten,324216,1/5,Orlando Sentinel,"The new Massacre lowers the bar much the way the original 'dead teenager' horror flick did way back in 1974, and makes a mockery of that industry self-policing rubber stamp known as the ratings board.","http://www.orlandosentinel.com/entertainment/movies/orl-calchainsaw17101703oct17,0,3287306.story",13328,The Texas Chainsaw Massacre
Bob Campbell,2003-10-17,rotten,324216,,Newark Star-Ledger,Does convey the sense of being caught in a nightmare. A stupid person's nightmare.,http://www.nj.com/movies/ledger/index.ssf?/base/entertainment-0/106637011665910.xml,13328,The Texas Chainsaw Massacre
Lou Lumenick,2003-10-17,rotten,324216,1/4,New York Post,A splatterfest remake that relentlessly assaults the senses and mind with no discernable redeeming social value.,,13328,The Texas Chainsaw Massacre
Rene Rodriguez,2003-10-17,rotten,324216,,Miami Herald,"Just as humorless as the original, but it's also slicker, glossier and resoundingly artificial.",http://www.miami.com/mld/miamiherald/entertainment/movies/7025740.htm,13328,The Texas Chainsaw Massacre
Liam Lacey,2003-10-17,rotten,324216,2/4,Globe and Mail,Gruesome enough; what it lacks is a distinctive revolting personality of its own.,http://www.theglobeandmail.com/servlet/ArticleNews/TPStory/LAC/20031017/TEXAS17/TPEntertainment/Film,13328,The Texas Chainsaw Massacre
Walter Goodman,2003-05-21,rotten,92076,2/5,New York Times,"No matter how adeptly Chainsaw 2 was put together, it would remain just another exploitation flick for fans who get a tingle from watching blades slash into flesh and innards peep out.",http://movies.nytimes.com/movie/review?res=9A0DE7D61239F930A1575BC0A960948260&partner=Rotten Tomatoes,14072,The Texas Chainsaw Massacre 2
Roger Ebert,2000-01-01,rotten,92076,1/4,Chicago Sun-Times,"Part 2 has a lot of blood and disembowelment, to be sure, but it doesn't have the terror of the original, the desire to be taken seriously. It's a geek show.",http://www.rogerebert.com/reviews/the-texas-chainsaw-massacre-part-2-1986,14072,The Texas Chainsaw Massacre 2
Richard Harrington,2001-11-16,rotten,99994,,Washington Post,"For those who saw the first two Massacres, this will seem pretty much deja-boo!",http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/leatherfacethetexaschainsawmassacreiiirharrington_a0aad0.htm,56788266,Leatherface: The Texas Chainsaw Massacre III
Joe Leydon,2009-03-26,fresh,110978,,Variety,Zellweger makes Jenny the most formidable scream queen since Jamie Lee Curtis went legit.,http://www.variety.com/review/VE1117909922.html?categoryid=31&cs=1,14756,The Texas Chainsaw Massacre - The Next Generation (The Return of the Texas Chainsaw Massacre)
Bruce Westbrook,2000-01-01,rotten,110978,,Houston Chronicle,"From electric cattle prods to human infernos, it's an tough, rough ride.",,14756,The Texas Chainsaw Massacre - The Next Generation (The Return of the Texas Chainsaw Massacre)
Janet Maslin,2000-01-01,rotten,110978,1.5/5,New York Times,"Without much wit of its own, Kim Henkel's tyro film is just what the polished Scream makes fun of.",http://www.nytimes.com/library/film/chainsaw-film-review.html,14756,The Texas Chainsaw Massacre - The Next Generation (The Return of the Texas Chainsaw Massacre)
Mike Clark,2000-01-01,rotten,110978,1.5/4,USA Today,The kind of cinematic endeavor where you suspect both cast and crew were obligated to bring their own beer.,,14756,The Texas Chainsaw Massacre - The Next Generation (The Return of the Texas Chainsaw Massacre)
Owen Gleiberman,1994-10-07,rotten,110978,C-,Entertainment Weekly,Renee Zellweger and Matthew McConaughey try to out-bad-act each other in the luridly abysmal third sequel to The Texas Chainsaw Massacre.,"http://www.ew.com/ew/article/0,,289255,00.html",14756,The Texas Chainsaw Massacre - The Next Generation (The Return of the Texas Chainsaw Massacre)
Michael Wilmington,2013-07-31,fresh,91877,4/5,Los Angeles Times,The characters here aren't just bad; most of them are truly vile -- human slime. And the film makers chew them up (especially two nefarious bonbons played by Danny DeVito and Bette Midler) with the toothsome glee of jolly cannibals.,http://articles.latimes.com/1986-06-27/entertainment/ca-20648_1_movie-review,13230,Ruthless People
Jay Boyar,2013-07-31,fresh,91877,,Orlando Sentinel,Much of the fun of this comedy is in watching what happens as virtually everyone in the movie tries to double-cross or otherwise take advantage of everyone else.,http://articles.orlandosentinel.com/1986-07-06/entertainment/0230370103_1_ruthless-people-danny-devito-bette-midler,13230,Ruthless People
Desmond Ryan,2013-07-31,fresh,91877,3/4,Philadelphia Inquirer,An undemanding but well-executed entertainment.,http://articles.philly.com/1986-06-27/entertainment/26045106_1_ruthless-people-danny-devito-jim-abrahams,13230,Ruthless People
Joe Baltake,2013-07-31,fresh,91877,,Philadelphia Daily News,"The people who made Ruthless People probably expect us to laugh... at the pushy people who populate their story. And they're right: We will laugh -- not because we have lousy taste (and wicked thoughts) ourselves, but because their film is genuinely funny.",http://articles.philly.com/1986-06-27/entertainment/26043591_1_ruthless-people-danny-devito-jim-abrahams,13230,Ruthless People
Gene Siskel,2013-07-31,fresh,91877,3.5/4,Chicago Tribune,Ruthless People contains some of the biggest laughs of 1986.,http://articles.chicagotribune.com/1986-08-08/entertainment/8602270452_1_flicks-film-ditch/5,13230,Ruthless People
Dave Kehr,2013-07-31,fresh,91877,,Chicago Reader,"It's a rare kind of craftsmanship, and it produces a rare kind of pleasure.",http://www.chicagoreader.com/chicago/ruthless-people/Film?oid=1073049,13230,Ruthless People
Variety Staff,2009-03-26,fresh,91877,,Variety,Ruthless People is a hilariously venal comedy about a kidnapped harridan whose rich husband won't pay for her return.,http://www.variety.com/review/VE1117794618.html?categoryid=31&cs=1,13230,Ruthless People
,2006-06-24,fresh,91877,,Time Out,"A pity that the directors prove less ruthless than their own creations, but there is more than enough here for people who enjoy murder attempts on cute pet poodles.",http://www.timeout.com/film/reviews/77051/ruthless_people.html,13230,Ruthless People
Thomas O'Connor,2003-05-21,fresh,91877,3.5/5,New York Times,"Though ''Ruthless People'' has few moments to equal the inspired lunacies of ''Airplane!'' it's a true farce -- uniformly, cheerily nasty...",http://movies.nytimes.com/movie/review?res=9A0DE0D71F39F934A15755C0A960948260&partner=Rotten Tomatoes,13230,Ruthless People
Roger Ebert,2000-01-01,fresh,91877,3.5/4,Chicago Sun-Times,"DeVito is the mainspring of ""Ruthless People,"" the engine of murderous intensity right at the center. His passion is so palpable that it adds weight to all the other performances in the movie.",http://www.rogerebert.com/reviews/ruthless-people-1986,13230,Ruthless People
Joe Leydon,2009-11-12,fresh,862856,,Variety,This slick and twisted effort should enjoy lengthy shelf life as a Halloween perennial.,http://www.variety.com/review/VE1117941590.html?categoryid=31&cs=1,563122405,Trick 'r Treat
Nina Darnton,2003-05-21,rotten,90710,2.5/5,New York Times,"The film is plagued by too many long, dead moments in which the story doesn't seem to be getting anywhere and attention wanders.",http://movies.nytimes.com/movie/review?res=9A0DE2DF1531F930A25755C0A960948260,11621,Belizaire the Cajun
Dave Kehr,2001-10-16,rotten,90710,,Chicago Reader,"Another ethnic group -- Cajuns, this time -- suffers the patronizing ministrations of the American Independent Cinema.",http://www.chicagoreader.com/chicago/belizaire-the-cajun/Film?oid=1050200,11621,Belizaire the Cajun
Rita Kempley,2000-01-01,rotten,90710,,Washington Post,"It's billed as a romantic comedy, but Cajun humor, like crawfish gumbo, takes some getting used to.",http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/belizairethecajunpgkempley_a0cad7.htm,11621,Belizaire the Cajun
Paul Attanasio,2000-01-01,fresh,90710,,Washington Post,This is an impressive debut film.,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/belizairethecajunpgattanasio_a0ad76.htm,11621,Belizaire the Cajun
Roger Ebert,2000-01-01,fresh,90710,3/4,Chicago Sun-Times,"Belizaire has personality and quiet charm and a lot of affection, mixed in with the more predictable action elements.",http://www.rogerebert.com/reviews/belizaire-the-cajun-1986,11621,Belizaire the Cajun
Richard Corliss,2008-12-14,fresh,91738,,TIME Magazine,"This prom-night balloon of a movie floats easily above the year's other exercises in '50s nostalgia. If you dare reach for it, it will land smartly in your heart.","http://www.time.com/time/magazine/article/0,9171,962527,00.html",11025,Peggy Sue Got Married
Pat Graham,2007-12-11,rotten,91738,,Chicago Reader,"It's grave, lumbering, arrhythmic, and bloated, an emotional hogwallow of catchpenny insights and easy sentimentality.",http://onfilm.chicagoreader.com/movies/capsules/6993_PEGGY_SUE_GOT_MARRIED,11025,Peggy Sue Got Married
Variety Staff,2007-12-11,fresh,91738,,Variety,"What makes this treatment unique is that the jokes aren't so much derivative of pop culture, but are instead found in the learned wisdom of a middle-aged woman reacting to her own teenage dilemmas.",http://www.variety.com/review/VE1117793921.html?categoryid=31&cs=1,11025,Peggy Sue Got Married
,2006-02-09,fresh,91738,,Time Out,"Ignore the ridiculous happy ending of this film, and you have a much more fatalistic exercise in which Coppola eschews easy laughs in favour of the exposure of feeling and the fact that these people's lives, however empty, matter to them.",http://www.timeout.com/film/reviews/70920/peggy_sue_got_married.html,11025,Peggy Sue Got Married
Vincent Canby,2003-05-20,rotten,91738,2.5/5,New York Times,"Miss Turner's self-assured comic timing goes a long way toward salvaging the film, providing both moral and physical dimension to a role that scarcely exists.",http://movies.nytimes.com/movie/review?res=9A0DEFD9163DF936A35753C1A960948260&partner=Rotten Tomatoes,11025,Peggy Sue Got Married
Roger Ebert,2000-01-01,fresh,91738,4/4,Chicago Sun-Times,"This time Coppola apparently simply wanted to make a movie, and put some characters on the screen, and tell a story. He has, all right. This is one of the best movies of the year.",http://www.rogerebert.com/reviews/peggy-sue-got-married-1986,11025,Peggy Sue Got Married
Rita Kempley,2000-01-01,fresh,91738,,Washington Post,"It's a wistful fantasy, a bright reminiscence, a Stroll down memory lane that's as glowingly conceived as it is slightly flawed.",http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/peggysuegotmarriedpg13kempley_a0caec.htm,11025,Peggy Sue Got Married
Paul Attanasio,2000-01-01,fresh,91738,,Washington Post,"Here you don't see Coppola the camera wizard, you see Coppola the storyteller, the maker of fables. And by the end, you don't feel warmly just toward the movie, but toward the man behind it.",http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/peggysuegotmarriedpg13attanasio_a0ad5f.htm,11025,Peggy Sue Got Married
Variety Staff,2009-03-26,rotten,92493,,Variety,Too slow to constitute an adventure and has too few laughs to be a comedy.,http://www.variety.com/review/VE1117790146.html?categoryid=31&cs=1,10658,Crocodile Dundee II
,2006-02-09,rotten,92493,,Time Out,"The violence is still pleasantly paddling-pool stuff, but the disarming G'day factor has been pasteurised away.",http://www.timeout.com/film/reviews/69865/crocodile_dundee_ii.html,10658,Crocodile Dundee II
Janet Maslin,2003-05-20,rotten,92493,2.5/5,New York Times,"The earlier one had novelty to keep it going, and this time the novelty has begun to wear thin, even if Mr. Hogan remains generally irresistible.",http://movies.nytimes.com/movie/review?res=940DE1DB1639F936A15756C0A96E948260&partner=Rotten Tomatoes,10658,Crocodile Dundee II
Hal Hinson,2002-01-16,rotten,92493,,Washington Post,"""'Crocodile' Dundee II"" is about as laid-back a movie as you're ever likely to nap through. The actors take forever to recite their lines, and scenes unfold as if the filmmakers had rented the screen by the month.",http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/crocodiledundeeiipghinson_a0c8f0.htm,10658,Crocodile Dundee II
Desson Thomson,2002-01-16,rotten,92493,,Washington Post,Doesn't follow so much as drag itself along like an alligator on dry land.,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/crocodiledundeeiipghowe_a0b168.htm,10658,Crocodile Dundee II
Geoff Andrew,2006-02-09,rotten,94169,,Time Out,"Neither thrilling nor horrific, the camera, plotting, dialogue and atmosphere are uniformly unconvincing: a conservatoire of false notes.",http://www.timeout.com/film/reviews/79645/tough_guys_dont_dance.html,395115063,Tough Guys Don't Dance
Vincent Canby,2003-05-20,fresh,94169,3/5,New York Times,"Not the high point of the Mailer career, but it's a small, entertaining part of it.",http://movies.nytimes.com/movie/review?res=9B0DE4DC163CF93BA2575AC0A961948260&partner=Rotten Tomatoes,395115063,Tough Guys Don't Dance
Hal Hinson,2000-01-01,rotten,94169,,Washington Post,"Hard to classify; at times you laugh raucously at what's up on the screen; at others you stare dumbly, in stunned amazement.",http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/toughguysdontdancerhinson_a0c934.htm,395115063,Tough Guys Don't Dance
Roger Ebert,2000-01-01,rotten,94169,2.5/4,Chicago Sun-Times,"What is strange is that Tough Guys Don't Dance leaves me with such vivid memories of its times and places, its feelings and weathers, and yet leaves me so completely indifferent to its plot. Watching the film, I laughed a good deal.",http://www.rogerebert.com/reviews/tough-guys-dont-dance-1987,395115063,Tough Guys Don't Dance
Jonathan Rosenbaum,2000-01-01,fresh,94169,,Chicago Reader,"Norman Mailer's best film, adapted from his worst novel, shows a surprising amount of cinematic savvy and style.",http://onfilm.chireader.com/MovieCaps/T/TO/08517_TOUGH_GUYS_DON'T.html,395115063,Tough Guys Don't Dance
,2006-02-09,rotten,91991,,Time Out,"In the end, however, it's let down by one easy laugh too many.",http://www.timeout.com/film/reviews/75044/soul_man.html,11754,Soul Man
Janet Maslin,2003-05-20,fresh,91991,3/5,New York Times,"It's a blithe, silly, good-natured movie and, of its kind, quite an enjoyable one.",http://movies.nytimes.com/movie/review?res=9A0DE2DB153AF937A15753C1A960948260&partner=Rotten Tomatoes,11754,Soul Man
Paul Attanasio,2000-01-01,rotten,91991,,Washington Post,"The pity is, it isn't even outrageous.",http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/soulmanrattanasio_a0ad68.htm,11754,Soul Man
Rita Kempley,2000-01-01,rotten,91991,,Washington Post,"Of course, simply everyone is completely bamboozled by our hero's disguise, even though he now looks like a Ken doll with liver disease.",http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/soulmanpg13kempley_a0cae5.htm,11754,Soul Man
Roger Ebert,2000-01-01,rotten,91991,1/4,Chicago Sun-Times,"This is a genuinely interesting idea, filled with dramatic possibilities, but the movie approaches it on the level of a dim-witted sit-com.",http://www.rogerebert.com/reviews/soul-man-1986,11754,Soul Man
Richard Schickel,2008-08-01,fresh,90863,,TIME Magazine,"We are not on Rocky's side of the street, but in Martin Scorsese country, where bent character, not sentiment, shapes destiny, and the best the struggling human spirit can hope for is a split decision.","http://www.time.com/time/magazine/article/0,9171,1075234,00.html",13091,The Color of Money
,2007-03-26,fresh,90863,,Variety,Pic has a distinctive pulse of its own with exceptional performances by Paul Newman and Tom Cruise.,http://www.variety.com/review/VE1117790001.html?categoryid=31&cs=1,13091,The Color of Money
Pat Graham,2007-03-26,fresh,90863,,Chicago Reader,"A solidly crafted entertainment that, for the most part, strikes a successful balance between commercial necessity and personal expression.",http://onfilm.chicagoreader.com/movies/capsules/2067_COLOR_OF_MONEY,13091,The Color of Money
Stephen Garrett,2006-06-24,fresh,90863,,Time Out,"Scorsese's direction at its most downmarket and upbeat -- never have pool tables, balls and cues looked so rich and strange.",http://www.timeout.com/film/reviews/69483/the_color_of_money.html,13091,The Color of Money
Vincent Canby,2003-05-20,fresh,90863,4/5,New York Times,A stunning vehicle -- a white Cadillac among the other mainstream American movies of the season.,http://movies.nytimes.com/movie/review?res=9A0DE2DD103DF934A25753C1A960948260&partner=Rotten Tomatoes,13091,The Color of Money
Roger Ebert,2000-01-01,rotten,90863,2.5/4,Chicago Sun-Times,"It doesn't have the electricity, the wound-up tension, of [Scorsese's] best work, and as a result I was too aware of the story marching by.",http://www.rogerebert.com/reviews/the-color-of-money-1986,13091,The Color of Money
Rita Kempley,2000-01-01,rotten,90863,,Washington Post,"In the end, Money is a scratch, a contrived cliffhanger that sets us up for Hustler III.",http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/thecolorofmoneyrkempley_a0cae9.htm,13091,The Color of Money
Paul Attanasio,2000-01-01,fresh,90863,,Washington Post,Scorsese gets you inside the game in a way most sports movies never hint at.,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/thecolorofmoneyrattanasio_a0ad63.htm,13091,The Color of Money
James Berardinelli,1986-10-08,fresh,90863,3/4,ReelViews,"The Color of Money is a good movie, but perhaps not a good sequel.",http://www.reelviews.net/php_review_template.php?identifier=1676,13091,The Color of Money
Vincent Canby,2004-08-30,rotten,91055,1/5,New York Times,"When Mr. Norris, the former karate champion, isn't using his feet on ill-tempered Indians and Mexicans, he's stomping on the facetious dialogue, which deserves it more.",http://movies.nytimes.com/movie/review?res=9D0CE6DF153AF932A15752C1A960948260&partner=Rotten Tomatoes,11281,Firewalker
Rita Kempley,2000-01-01,rotten,91055,,Washington Post,There are really only two good words to say about this wreck -- Melody Anderson.,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/firewalkerrkempley_a0cad5.htm,11281,Firewalker
Paul Attanasio,2000-01-01,rotten,91055,,Washington Post,Kitsch.,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/firewalkerpgattanasio_a0ad7a.htm,11281,Firewalker
Roger Ebert,2000-01-01,rotten,91055,1/4,Chicago Sun-Times,"Where to start with this movie? Where to end? Even more to the point, in which order to show the reels?",http://www.rogerebert.com/reviews/firewalker-1986,11281,Firewalker
Godfrey Cheshire,2007-08-07,rotten,160862,,Variety,She's All That feels like it could have been made by a team of septuagenarians from the glory days of American Intl. Pictures.,http://www.variety.com/review/VE1117490608.html?categoryid=31&cs=1,10696,She's All That
Lisa Alspector,2007-08-07,fresh,160862,,Chicago Reader,"It's often impossible to distinguish what's meant to be cartoonish from what's meant to be dramatic, but the confusion seems appropriately adolescent.",http://onfilm.chicagoreader.com/movies/capsules/17258_SHES_ALL_THAT,10696,She's All That
Derek Adams,2006-02-09,rotten,160862,,Time Out,A formula flick.,http://www.timeout.com/film/reviews/74503/shes_all_that.html,10696,She's All That
Rick Groen,2002-03-22,rotten,160862,2/4,Globe and Mail,A trite classic.,http://www.globeandmail.com/servlet/ArticleNews/movie/MOVIEREVIEWS/19990129/TARICK,10696,She's All That
Mick LaSalle,2000-01-01,rotten,160862,2/4,San Francisco Chronicle,It's a pleasing but routine effort.,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1999/01/29/DD92627.DTL,10696,She's All That
Justine Elias,2000-01-01,rotten,160862,,Village Voice,"Only Prinze, who has the ethereal, gentlemanly quality of a young Anthony Perkins, gets enough screen time to really make an impression.",http://www.villagevoice.com/arts/9905/elias.php,10696,She's All That
Paul Tatara,2000-01-01,rotten,160862,,CNN.com,"Director Robert Iscove isn't really taxing his imagination, but that's probably just as well.",http://www.cnn.com/SHOWBIZ/Movies/9902/03/review.shesallthat/,10696,She's All That
Roger Ebert,2000-01-01,rotten,160862,2.5/4,Chicago Sun-Times,"She's All That is not a great movie, but it has its moments.",http://www.rogerebert.com/reviews/shes-all-that-1999,10696,She's All That
Stephen Holden,2000-01-01,rotten,160862,2.5/5,New York Times,"She's All That is essentially a formulaic comedy, but it has enough glimmerings of originality and wit to make you wish it were much bolder and funnier than it turns out to be.",http://movies.nytimes.com/movie/review?res=9F0DE0DD1E39F93AA15752C0A96F958260&partner=Rotten Tomatoes,10696,She's All That
James Berardinelli,2000-01-01,rotten,160862,2/4,ReelViews,"To say this isn't original is to understate the matter. However, although it's questionable whether this story has ever been done well, that hasn't stopped filmmakers from repeatedly trying.",http://www.reelviews.net/php_review_template.php?identifier=1737,10696,She's All That
Mary Elizabeth Williams,2000-01-01,fresh,160862,,Salon.com,"In the process of discovering each other, both Laney and Zack learn that it's as OK to change as it is to stay the same, perhaps even better.",http://www.salon.com/ent/movies/reviews/1999/01/29reviewc.html,10696,She's All That
Kenneth Turan,2013-10-05,fresh,54167,5/5,Los Angeles Times,"Fear, as it turns out, is the most frightening thing in the world, and Peeping Tom makes us feel it palpably as few films have been able to do.",http://articles.latimes.com/1999/mar/26/entertainment/ca-21073,19244,Peeping Tom
Jay Boyar,2013-10-05,fresh,54167,5/5,Orlando Sentinel,"Peeping Tom reminds us of the scary, primitive power of movies by putting us, as viewers, in the position of its peeping protagonist. As the psychopath sets up his victims for the kill, we see them through his eyes.",http://articles.orlandosentinel.com/1996-06-23/entertainment/9606201238_1_peeping-tom-martin-scorsese-moira-shearer,19244,Peeping Tom
Michael Wilmington,2013-10-05,fresh,54167,3.5/4,Chicago Tribune,"It still packs a wallop. Maybe that's because, in cinema, we're all peeping toms. And the camera, in skillful hands, can be an exquisite instrument of terror.",http://articles.chicagotribune.com/1999-05-07/entertainment/9905070102_1_peeping-tom-movie-camera-audiences,19244,Peeping Tom
Variety Staff,2007-09-19,rotten,54167,,Variety,"Stripped of its color and some excellent photography plus imaginative direction by Michael Powell, the plot itself would have emerged as a shoddy yarn.",http://www.variety.com/review/VE1117793919.html?categoryid=31&cs=1,19244,Peeping Tom
Dave Kehr,2007-09-19,fresh,54167,,Chicago Reader,It's an understanding and at times even celebratory film -- attitudes that scandalized critics years ago and are still pretty potent today.,http://onfilm.chicagoreader.com/movies/capsules/6992_PEEPING_TOM,19244,Peeping Tom
Dave Calhoun,2006-06-24,fresh,54167,,Time Out,"A Freudian script of notable maturity teases limitless implications from this premise, while maintaining a healthy sense of humour.",http://www.timeout.com/film/reviews/70917/peeping_tom.html,19244,Peeping Tom
Vincent Canby,2005-05-09,rotten,54167,2/5,New York Times,"Peeping Tom's rediscovery, I fear, tells us more about fads in film criticism than it does about art.",http://movies.nytimes.com/movie/review?res=9C00E4D7153EE732A25757C1A9669D946890D6CF&partner=Rotten Tomatoes,19244,Peeping Tom
Chris Vognar,2003-05-01,fresh,54167,A-,Dallas Morning News,"Though it effectively ended Mr. Powell's career, Peeping Tom is now considered a once-forbidden classic, an audacious act of self-cannibalization in which cinema itself is a lethal weapon.",http://www.guidelive.com/profile/335376/,19244,Peeping Tom
J. Hoberman,2002-09-26,fresh,54167,,Village Voice,The original first-person horror film.,http://www.villagevoice.com/issues/9904/hoberman.php,19244,Peeping Tom
